Date,Shift,Start_Time,Product_ID,Product_Name,Flavor,Bag_Size_g,Planned_Production_Units,Actual_Production_Units,Units_Per_Minute,Total_Time_Run_Minutes,Raw_Material_Used_kg,Waste_Weight_kg,Packaging_Waste_Units,QC_Defects_Count,Downtime_Minutes,Downtime_Reason,Machine_Operator_ID,Supervisor_ID,Clean_Time_Minutes
2025-12-21,Afternoon,14:00:00,ONION-L,Creamy Onion Chips,Sour Onion,150,10722,9652,70.4,463,1538.7,90.9,215,113,75,Material Shortage,OP109,SUP01,12
2025-12-03,Night,22:00:00,LIME-S,Lime Zest Chips,Tangy Lime,300,10590,10238,66.7,337,3180.6,109.2,92,78,51,Changeover,OP115,SUP06,18
2025-12-22,Morning,06:00:00,MASALA-M,Masala Magic Chips,Indian Masala,50,15794,15200,72.7,404,807.5,47.5,208,60,115,Equipment Failure,OP113,SUP03,31
2025-12-01,Morning,06:00:00,MASALA-M,Masala Magic Chips,Indian Masala,150,22818,22235,71.0,363,3427.8,92.6,768,27,53,Changeover,OP114,SUP08,19
2025-12-07,Afternoon,14:00:00,BBQ-M,BBQ Crunch Chips,Smokey BBQ,150,23443,22590,59.6,306,3547.1,158.6,458,84,40,Changeover,OP113,SUP05,27
2025-12-21,Night,22:00:00,SALT-S,Classic Salted Chips,Classic Salt,300,15425,15041,57.3,366,4618.7,106.4,321,9,18,Cleaning,OP107,SUP06,25
2025-12-14,Night,22:00:00,CHILI-M,Chili Heat Chips,Spicy Chili,50,16311,15853,58.8,311,831.7,39.1,51,133,108,Cleaning,OP111,SUP04,28
2025-12-14,Morning,06:00:00,MASALA-M,Masala Magic Chips,Indian Masala,150,20209,18695,72.0,376,2914.5,110.2,732,104,46,Material Shortage,OP112,SUP05,40
2025-12-05,Morning,06:00:00,SALT-S,Classic Salted Chips,Classic Salt,200,21097,20249,58.5,445,4168.8,119.0,611,0,43,QC Hold,OP104,SUP07,42
2025-12-20,Night,22:00:00,BBQ-M,BBQ Crunch Chips,Smokey BBQ,200,17238,16123,59.3,421,3396.9,172.3,223,21,41,Cleaning,OP111,SUP06,10
2025-12-27,Morning,06:00:00,MASALA-M,Masala Magic Chips,Indian Masala,150,13680,13194,57.9,311,2032.0,52.9,536,18,63,Material Shortage,OP115,SUP04,29
2025-12-16,Afternoon,14:00:00,LIME-S,Lime Zest Chips,Tangy Lime,100,20748,19814,72.9,327,2085.7,104.3,274,45,107,Cleaning,OP108,SUP01,40
2025-12-08,Morning,06:00:00,SALT-S,Classic Salted Chips,Classic Salt,100,23130,21676,65.6,443,2262.1,94.5,503,129,59,Cleaning,OP108,SUP03,35
2025-12-15,Afternoon,14:00:00,ONION-L,Creamy Onion Chips,Sour Onion,100,23760,22596,70.3,433,2345.9,86.3,294,70,61,Changeover,OP112,SUP05,20
2025-12-09,Afternoon,14:00:00,BBQ-M,BBQ Crunch Chips,Smokey BBQ,300,11320,10313,59.6,477,3163.1,69.2,269,16,58,Material Shortage,OP106,SUP08,31
2025-12-02,Morning,06:00:00,ONION-L,Creamy Onion Chips,Sour Onion,200,16381,15928,66.7,478,3237.0,51.4,639,97,66,Changeover,OP106,SUP05,29
2025-12-28,Afternoon,14:00:00,CHILI-M,Chili Heat Chips,Spicy Chili,300,23105,21909,59.4,356,6757.0,184.3,547,7,54,QC Hold,OP111,SUP07,15
2025-12-27,Afternoon,14:00:00,LIME-S,Lime Zest Chips,Tangy Lime,300,18751,16916,62.9,444,5313.0,238.2,135,109,22,Material Shortage,OP103,SUP01,21
2025-12-13,Afternoon,14:00:00,LIME-S,Lime Zest Chips,Tangy Lime,200,15355,14234,72.6,371,2993.0,146.2,481,64,111,Changeover,OP108,SUP01,39
2025-12-02,Afternoon,14:00:00,LIME-S,Lime Zest Chips,Tangy Lime,50,22799,22265,55.8,307,1181.5,68.2,254,5,84,Equipment Failure,OP104,SUP03,35
2025-12-22,Morning,06:00:00,CHILI-M,Chili Heat Chips,Spicy Chili,100,17619,16843,70.3,342,1758.6,74.3,785,29,104,Equipment Failure,OP105,SUP02,42
2025-12-01,Afternoon,14:00:00,CHILI-M,Chili Heat Chips,Spicy Chili,200,16498,16090,59.0,451,3373.4,155.4,692,62,18,QC Hold,OP114,SUP02,41
2025-12-26,Morning,06:00:00,BBQ-M,BBQ Crunch Chips,Smokey BBQ,300,17018,16216,56.4,465,5017.1,152.3,480,125,18,Material Shortage,OP106,SUP08,14
2025-12-14,Morning,06:00:00,MASALA-M,Masala Magic Chips,Indian Masala,300,20657,19037,71.2,437,6010.8,299.7,526,111,110,Cleaning,OP105,SUP06,20
2025-12-27,Morning,06:00:00,BBQ-M,BBQ Crunch Chips,Smokey BBQ,200,13995,13435,66.4,471,2776.0,89.0,79,126,113,QC Hold,OP103,SUP08,18
2025-12-12,Afternoon,14:00:00,BBQ-M,BBQ Crunch Chips,Smokey BBQ,150,24423,23145,72.6,442,3526.3,54.6,245,21,35,Material Shortage,OP108,SUP04,35
2025-12-21,Night,22:00:00,SALT-S,Classic Salted Chips,Classic Salt,200,22991,20723,60.9,403,4345.0,200.4,363,148,52,Material Shortage,OP109,SUP06,32
2025-12-24,Night,22:00:00,BBQ-M,BBQ Crunch Chips,Smokey BBQ,150,21515,20144,61.1,359,3084.6,63.0,247,80,20,Cleaning,OP113,SUP03,17
2025-12-07,Night,22:00:00,SALT-S,Classic Salted Chips,Classic Salt,150,21871,20715,70.2,452,3195.9,88.7,152,49,42,Equipment Failure,OP106,SUP03,24
2025-12-01,Night,22:00:00,CHILI-M,Chili Heat Chips,Spicy Chili,100,14494,13097,56.1,374,1373.4,63.7,179,125,18,Changeover,OP110,SUP05,35
2025-12-16,Afternoon,14:00:00,BBQ-M,BBQ Crunch Chips,Smokey BBQ,100,10841,9975,72.2,329,1052.2,54.7,460,125,14,Cleaning,OP111,SUP01,14
2025-12-05,Night,22:00:00,BBQ-M,BBQ Crunch Chips,Smokey BBQ,50,14066,12792,70.3,455,667.5,27.9,683,57,104,Cleaning,OP107,SUP08,33
2025-12-10,Night,22:00:00,SALT-S,Classic Salted Chips,Classic Salt,150,19316,18344,67.2,325,2919.9,168.3,262,54,38,Changeover,OP103,SUP04,16
2025-12-18,Morning,06:00:00,LIME-S,Lime Zest Chips,Tangy Lime,50,16693,15625,66.9,374,794.3,13.0,345,72,94,Material Shortage,OP102,SUP04,21
2025-12-26,Night,22:00:00,CHILI-M,Chili Heat Chips,Spicy Chili,100,16965,15424,59.5,338,1633.7,91.3,195,18,12,Equipment Failure,OP113,SUP05,43
2025-12-24,Night,22:00:00,BBQ-M,BBQ Crunch Chips,Smokey BBQ,200,12037,11284,61.1,403,2394.3,137.5,562,138,68,Material Shortage,OP102,SUP01,32
2025-12-24,Afternoon,14:00:00,CHILI-M,Chili Heat Chips,Spicy Chili,150,10423,9456,74.2,447,1479.7,61.3,71,68,78,Changeover,OP113,SUP03,35
2025-12-17,Night,22:00:00,SALT-S,Classic Salted Chips,Classic Salt,150,12973,12710,63.7,425,2025.2,118.7,531,89,57,QC Hold,OP106,SUP02,15
2025-12-11,Afternoon,14:00:00,MASALA-M,Masala Magic Chips,Indian Masala,200,14722,14030,63.0,440,2853.5,47.5,140,80,37,QC Hold,OP102,SUP07,37
2025-12-27,Morning,06:00:00,MASALA-M,Masala Magic Chips,Indian Masala,300,17569,16392,58.8,392,5138.7,221.1,560,113,102,Changeover,OP104,SUP05,40
2025-12-05,Afternoon,14:00:00,SALT-S,Classic Salted Chips,Classic Salt,200,11989,10817,67.6,361,2270.0,106.6,368,141,6,Cleaning,OP107,SUP02,19
2025-12-27,Morning,06:00:00,SALT-S,Classic Salted Chips,Classic Salt,50,20612,19922,65.0,374,1035.3,39.2,329,106,111,Material Shortage,OP108,SUP04,34
2025-12-18,Morning,06:00:00,SALT-S,Classic Salted Chips,Classic Salt,100,19820,18643,72.6,317,1916.9,52.6,474,87,105,Cleaning,OP105,SUP01,23
2025-12-24,Afternoon,14:00:00,ONION-L,Creamy Onion Chips,Sour Onion,300,19501,19109,64.8,338,5941.2,208.5,545,88,47,Cleaning,OP113,SUP07,34
2025-12-30,Afternoon,14:00:00,ONION-L,Creamy Onion Chips,Sour Onion,100,21427,19693,62.7,405,2003.3,34.0,534,97,54,Equipment Failure,OP108,SUP01,13
2025-12-17,Night,22:00:00,BBQ-M,BBQ Crunch Chips,Smokey BBQ,50,24322,23534,57.0,416,1195.5,18.8,197,104,116,Equipment Failure,OP102,SUP08,21
2025-12-11,Night,22:00:00,MASALA-M,Masala Magic Chips,Indian Masala,200,20646,18714,61.6,472,3955.1,212.3,439,81,85,Material Shortage,OP114,SUP01,44
2025-12-03,Morning,06:00:00,MASALA-M,Masala Magic Chips,Indian Masala,150,13727,13174,63.7,325,2078.4,102.3,770,25,61,Equipment Failure,OP112,SUP05,6
2025-12-02,Afternoon,14:00:00,ONION-L,Creamy Onion Chips,Sour Onion,50,14806,13749,63.6,362,715.3,27.8,629,46,26,Equipment Failure,OP102,SUP07,44
2025-12-22,Morning,06:00:00,SALT-S,Classic Salted Chips,Classic Salt,300,12344,11338,67.8,417,3494.0,92.6,59,119,120,QC Hold,OP111,SUP03,9
2025-12-15,Afternoon,14:00:00,CHILI-M,Chili Heat Chips,Spicy Chili,150,20468,19996,68.8,416,3167.4,168.0,253,98,114,Material Shortage,OP102,SUP04,29
2025-12-19,Afternoon,14:00:00,CHILI-M,Chili Heat Chips,Spicy Chili,150,21456,19817,74.6,468,3073.4,100.8,58,144,115,Changeover,OP115,SUP08,23
2025-12-25,Morning,06:00:00,CHILI-M,Chili Heat Chips,Spicy Chili,150,13588,12921,67.4,473,2038.0,99.8,725,35,85,Changeover,OP115,SUP01,24
2025-12-26,Afternoon,14:00:00,CHEESE-L,Cheese Delight Chips,Cheddar,300,15977,15315,56.8,375,4735.1,140.6,475,44,30,Equipment Failure,OP113,SUP06,38
2025-12-17,Afternoon,14:00:00,ONION-L,Creamy Onion Chips,Sour Onion,100,14210,13828,73.9,375,1453.4,70.6,396,29,64,Changeover,OP103,SUP04,30
2025-12-28,Night,22:00:00,BBQ-M,BBQ Crunch Chips,Smokey BBQ,50,22954,21383,60.3,331,1108.5,39.3,738,67,79,Material Shortage,OP114,SUP06,11
2025-12-22,Morning,06:00:00,SALT-S,Classic Salted Chips,Classic Salt,50,20150,19560,66.2,456,1003.0,25.0,114,118,94,QC Hold,OP111,SUP07,12
2025-12-05,Morning,06:00:00,CHEESE-L,Cheese Delight Chips,Cheddar,150,18071,16431,59.7,437,2517.8,53.2,514,94,90,Cleaning,OP107,SUP03,31
2025-12-21,Morning,06:00:00,ONION-L,Creamy Onion Chips,Sour Onion,200,20086,18733,74.0,308,3927.5,180.9,272,113,61,Equipment Failure,OP114,SUP06,11
2025-12-22,Afternoon,14:00:00,CHILI-M,Chili Heat Chips,Spicy Chili,150,10992,10242,58.8,331,1630.4,94.1,515,23,89,Equipment Failure,OP111,SUP01,8
2025-12-26,Afternoon,14:00:00,LIME-S,Lime Zest Chips,Tangy Lime,100,22893,21637,56.4,441,2217.6,53.9,271,59,47,Equipment Failure,OP113,SUP01,22
2025-12-28,Morning,06:00:00,LIME-S,Lime Zest Chips,Tangy Lime,300,14106,13596,57.2,306,4166.0,87.2,416,60,80,QC Hold,OP101,SUP03,21
2025-12-02,Morning,06:00:00,MASALA-M,Masala Magic Chips,Indian Masala,200,18619,16926,56.3,414,3563.4,178.2,575,27,62,Cleaning,OP104,SUP01,38
2025-12-10,Afternoon,14:00:00,MASALA-M,Masala Magic Chips,Indian Masala,50,10996,10774,71.9,409,564.6,25.9,552,113,14,Changeover,OP106,SUP03,9
2025-12-05,Afternoon,14:00:00,CHILI-M,Chili Heat Chips,Spicy Chili,300,18984,18167,62.6,452,5670.5,220.4,514,129,82,Material Shortage,OP102,SUP02,40
2025-12-24,Morning,06:00:00,SALT-S,Classic Salted Chips,Classic Salt,200,24550,22543,61.8,416,4662.2,153.6,797,24,45,Material Shortage,OP106,SUP05,28
2025-12-05,Night,22:00:00,SALT-S,Classic Salted Chips,Classic Salt,50,11494,11109,56.9,324,583.8,28.3,431,33,76,Changeover,OP110,SUP06,12
2025-12-14,Afternoon,14:00:00,ONION-L,Creamy Onion Chips,Sour Onion,200,24222,23574,56.0,373,4921.6,206.8,410,26,78,Cleaning,OP104,SUP03,35
2025-12-08,Morning,06:00:00,BBQ-M,BBQ Crunch Chips,Smokey BBQ,300,16022,14567,60.6,357,4606.5,236.4,624,142,8,Cleaning,OP115,SUP05,6
2025-12-06,Afternoon,14:00:00,MASALA-M,Masala Magic Chips,Indian Masala,150,15567,14447,58.6,336,2258.5,91.4,460,17,23,Changeover,OP102,SUP04,29
2025-12-14,Afternoon,14:00:00,BBQ-M,BBQ Crunch Chips,Smokey BBQ,100,16062,14856,61.5,445,1550.5,64.9,103,39,25,Cleaning,OP101,SUP02,22
2025-12-15,Night,22:00:00,SALT-S,Classic Salted Chips,Classic Salt,200,19946,18656,60.5,431,3807.8,76.6,490,28,41,Cleaning,OP108,SUP05,7
2025-12-08,Afternoon,14:00:00,CHILI-M,Chili Heat Chips,Spicy Chili,50,10125,9278,73.9,335,488.0,24.1,346,83,20,Changeover,OP108,SUP07,16
2025-12-05,Afternoon,14:00:00,CHILI-M,Chili Heat Chips,Spicy Chili,100,18196,17189,68.4,390,1750.8,31.9,93,111,7,Material Shortage,OP115,SUP02,25
2025-12-19,Afternoon,14:00:00,CHILI-M,Chili Heat Chips,Spicy Chili,200,21624,20568,60.8,403,4180.2,66.6,382,43,107,Cleaning,OP108,SUP06,10
2025-12-14,Morning,06:00:00,LIME-S,Lime Zest Chips,Tangy Lime,200,19648,18312,56.6,379,3849.3,186.9,276,85,104,Equipment Failure,OP102,SUP02,38
2025-12-17,Morning,06:00:00,ONION-L,Creamy Onion Chips,Sour Onion,150,15752,15093,71.4,337,2323.5,59.6,199,65,30,Equipment Failure,OP110,SUP03,9
2025-12-06,Night,22:00:00,SALT-S,Classic Salted Chips,Classic Salt,200,22360,21132,66.6,474,4479.9,253.5,628,82,115,QC Hold,OP103,SUP08,9
2025-12-16,Afternoon,14:00:00,MASALA-M,Masala Magic Chips,Indian Masala,150,23047,21248,56.1,429,3246.7,59.5,522,115,9,Changeover,OP106,SUP05,9
2025-12-21,Morning,06:00:00,CHILI-M,Chili Heat Chips,Spicy Chili,300,18307,17039,66.6,310,5298.4,186.7,635,48,46,Cleaning,OP108,SUP03,8
2025-12-15,Morning,06:00:00,ONION-L,Creamy Onion Chips,Sour Onion,150,21703,19679,67.9,310,3031.1,79.2,498,112,72,Cleaning,OP110,SUP03,28
2025-12-12,Afternoon,14:00:00,SALT-S,Classic Salted Chips,Classic Salt,200,22688,21033,67.0,461,4400.8,194.2,117,84,17,Cleaning,OP111,SUP07,23
2025-12-09,Night,22:00:00,ONION-L,Creamy Onion Chips,Sour Onion,300,24307,22168,56.6,469,6795.6,145.2,408,79,88,Material Shortage,OP103,SUP02,24
2025-12-18,Afternoon,14:00:00,MASALA-M,Masala Magic Chips,Indian Masala,150,23323,21229,69.1,475,3373.5,189.2,145,108,70,QC Hold,OP101,SUP06,24
2025-12-06,Morning,06:00:00,BBQ-M,BBQ Crunch Chips,Smokey BBQ,200,13145,12068,57.8,319,2483.9,70.3,153,129,103,Cleaning,OP114,SUP01,26
2025-12-29,Night,22:00:00,LIME-S,Lime Zest Chips,Tangy Lime,300,16172,14754,58.6,477,4657.7,231.5,219,112,10,Material Shortage,OP106,SUP04,33
2025-12-20,Afternoon,14:00:00,ONION-L,Creamy Onion Chips,Sour Onion,200,13833,13040,61.2,420,2761.8,153.8,248,94,91,Cleaning,OP108,SUP08,23
2025-12-25,Afternoon,14:00:00,CHILI-M,Chili Heat Chips,Spicy Chili,300,16859,16476,71.3,454,5050.0,107.2,306,13,87,Material Shortage,OP114,SUP06,40
2025-12-30,Morning,06:00:00,MASALA-M,Masala Magic Chips,Indian Masala,300,23945,21789,56.7,341,6720.0,183.3,575,37,111,Material Shortage,OP102,SUP04,33
2025-12-29,Afternoon,14:00:00,CHEESE-L,Cheese Delight Chips,Cheddar,200,10872,10129,62.5,398,2154.5,128.7,433,57,8,QC Hold,OP115,SUP02,26
2025-12-26,Morning,06:00:00,LIME-S,Lime Zest Chips,Tangy Lime,50,14700,14308,64.4,335,752.4,37.0,530,114,83,Changeover,OP115,SUP02,6
2025-12-09,Morning,06:00:00,ONION-L,Creamy Onion Chips,Sour Onion,100,18991,18520,67.2,408,1889.8,37.8,345,60,43,Changeover,OP101,SUP04,31
2025-12-21,Night,22:00:00,SALT-S,Classic Salted Chips,Classic Salt,50,11816,11425,65.0,437,580.4,9.1,577,147,35,Equipment Failure,OP105,SUP07,5
2025-12-20,Afternoon,14:00:00,LIME-S,Lime Zest Chips,Tangy Lime,300,16825,15394,68.4,434,4907.0,288.8,119,134,74,Cleaning,OP113,SUP01,29
2025-12-28,Afternoon,14:00:00,CHEESE-L,Cheese Delight Chips,Cheddar,200,16116,14831,55.3,317,3059.6,93.4,800,26,103,Cleaning,OP112,SUP06,13
2025-12-02,Afternoon,14:00:00,CHILI-M,Chili Heat Chips,Spicy Chili,150,23328,22194,71.6,475,3453.1,124.0,762,122,85,Equipment Failure,OP113,SUP03,9
2025-12-23,Afternoon,14:00:00,CHEESE-L,Cheese Delight Chips,Cheddar,150,13302,12018,59.0,310,1856.9,54.2,367,131,55,Cleaning,OP108,SUP05,7
2025-12-25,Night,22:00:00,LIME-S,Lime Zest Chips,Tangy Lime,150,15848,15356,56.0,467,2374.5,71.1,177,94,60,Material Shortage,OP112,SUP08,29
2025-12-11,Morning,06:00:00,SALT-S,Classic Salted Chips,Classic Salt,200,16018,15600,65.4,321,3276.3,156.3,130,110,82,Equipment Failure,OP109,SUP05,25
2025-12-04,Morning,06:00:00,BBQ-M,BBQ Crunch Chips,Smokey BBQ,150,15021,14054,69.4,342,2209.8,101.7,409,114,10,QC Hold,OP110,SUP07,22
2025-12-21,Morning,06:00:00,CHEESE-L,Cheese Delight Chips,Cheddar,200,15952,15011,70.0,340,3186.6,184.4,196,112,9,Equipment Failure,OP102,SUP04,28
2025-12-12,Afternoon,14:00:00,CHILI-M,Chili Heat Chips,Spicy Chili,50,19913,18166,64.0,394,938.1,29.8,128,146,22,Cleaning,OP106,SUP07,25
2025-12-21,Afternoon,14:00:00,LIME-S,Lime Zest Chips,Tangy Lime,50,10424,9995,65.0,399,529.5,29.8,170,67,104,QC Hold,OP112,SUP08,18
2025-12-20,Afternoon,14:00:00,MASALA-M,Masala Magic Chips,Indian Masala,200,13279,12081,72.1,415,2472.5,56.3,780,113,16,QC Hold,OP111,SUP06,9
2025-12-18,Night,22:00:00,BBQ-M,BBQ Crunch Chips,Smokey BBQ,150,23948,21854,69.2,479,3427.9,149.8,420,130,33,Changeover,OP104,SUP03,20
2025-12-26,Afternoon,14:00:00,CHEESE-L,Cheese Delight Chips,Cheddar,150,19077,18042,64.3,441,2763.9,57.6,138,16,44,Material Shortage,OP112,SUP08,38
2025-12-14,Afternoon,14:00:00,ONION-L,Creamy Onion Chips,Sour Onion,300,11208,10199,61.3,318,3171.5,111.8,746,132,49,Equipment Failure,OP115,SUP03,13
2025-12-14,Night,22:00:00,ONION-L,Creamy Onion Chips,Sour Onion,50,23621,21493,58.1,342,1099.1,24.4,776,57,49,Cleaning,OP115,SUP05,10
2025-12-09,Morning,06:00:00,MASALA-M,Masala Magic Chips,Indian Masala,300,14496,13191,61.1,436,4034.8,77.5,706,43,80,Cleaning,OP103,SUP03,44
2025-12-24,Night,22:00:00,BBQ-M,BBQ Crunch Chips,Smokey BBQ,300,10674,10311,55.6,311,3282.7,189.4,640,67,88,Equipment Failure,OP113,SUP07,44
2025-12-21,Morning,06:00:00,SALT-S,Classic Salted Chips,Classic Salt,300,14745,14027,61.0,362,4435.2,227.1,751,103,43,Material Shortage,OP102,SUP01,15
2025-12-15,Afternoon,14:00:00,SALT-S,Classic Salted Chips,Classic Salt,200,13342,12370,57.9,381,2598.8,124.8,403,102,21,QC Hold,OP109,SUP02,25
2025-12-08,Afternoon,14:00:00,CHEESE-L,Cheese Delight Chips,Cheddar,150,17366,15973,56.9,374,2542.2,146.2,680,107,36,Equipment Failure,OP114,SUP06,41
2025-12-24,Afternoon,14:00:00,LIME-S,Lime Zest Chips,Tangy Lime,100,18163,17793,64.3,378,1848.4,69.1,142,100,69,Material Shortage,OP104,SUP04,42
2025-12-12,Morning,06:00:00,CHEESE-L,Cheese Delight Chips,Cheddar,150,18108,17162,71.9,472,2670.9,96.6,599,2,113,Changeover,OP107,SUP03,21
2025-12-24,Afternoon,14:00:00,ONION-L,Creamy Onion Chips,Sour Onion,200,15995,14453,56.0,443,2961.0,70.4,616,73,14,Material Shortage,OP109,SUP08,40
2025-12-09,Night,22:00:00,MASALA-M,Masala Magic Chips,Indian Masala,300,11946,10874,56.9,395,3436.7,174.5,397,142,51,Equipment Failure,OP104,SUP07,37
2025-12-02,Morning,06:00:00,CHEESE-L,Cheese Delight Chips,Cheddar,100,21691,20099,64.5,416,2054.5,44.6,577,35,46,Cleaning,OP106,SUP03,30
2025-12-20,Night,22:00:00,ONION-L,Creamy Onion Chips,Sour Onion,150,19727,18285,71.6,436,2848.3,105.6,626,76,65,Changeover,OP106,SUP06,12
2025-12-14,Night,22:00:00,BBQ-M,BBQ Crunch Chips,Smokey BBQ,50,19779,18552,74.3,448,967.3,39.7,788,13,79,Material Shortage,OP103,SUP07,14
2025-12-27,Night,22:00:00,LIME-S,Lime Zest Chips,Tangy Lime,50,19380,18912,57.2,304,979.7,34.1,478,38,57,Equipment Failure,OP107,SUP08,8
2025-12-23,Morning,06:00:00,CHILI-M,Chili Heat Chips,Spicy Chili,100,19189,17769,68.2,434,1835.6,58.7,227,117,73,QC Hold,OP109,SUP06,21
2025-12-20,Afternoon,14:00:00,LIME-S,Lime Zest Chips,Tangy Lime,100,14571,13764,59.5,376,1448.4,72.0,771,53,93,Material Shortage,OP106,SUP08,27
2025-12-18,Night,22:00:00,BBQ-M,BBQ Crunch Chips,Smokey BBQ,150,11996,11346,65.9,401,1794.9,93.0,199,74,10,QC Hold,OP112,SUP02,27
2025-12-30,Afternoon,14:00:00,MASALA-M,Masala Magic Chips,Indian Masala,150,22244,20872,59.0,437,3218.3,87.5,625,69,22,Changeover,OP110,SUP04,20
2025-12-02,Night,22:00:00,CHILI-M,Chili Heat Chips,Spicy Chili,100,20452,18787,57.0,384,1971.9,93.2,152,35,5,Cleaning,OP115,SUP03,31
2025-12-21,Afternoon,14:00:00,SALT-S,Classic Salted Chips,Classic Salt,100,22384,21871,61.4,465,2226.4,39.3,141,146,34,Cleaning,OP112,SUP01,16
2025-12-14,Morning,06:00:00,CHEESE-L,Cheese Delight Chips,Cheddar,200,22909,21525,73.7,374,4552.9,247.9,59,76,77,Cleaning,OP102,SUP06,23
2025-12-15,Night,22:00:00,CHILI-M,Chili Heat Chips,Spicy Chili,300,18092,17569,57.7,429,5467.9,197.2,247,28,47,Equipment Failure,OP112,SUP08,21
2025-12-23,Morning,06:00:00,CHEESE-L,Cheese Delight Chips,Cheddar,150,22955,21201,68.5,349,3254.7,74.5,704,103,110,Material Shortage,OP109,SUP06,10
